rate_rps,rate_rpm,rate_rph,serverless_per_1k,container_per_1k,managed_per_1k,serverless_monthly,container_monthly,managed_monthly,cheapest_mode,savings_vs_2nd_pct
0.017,1.02,61.2,0.004834,0.339869,1.062092,0.0,15.18,47.45,serverless,98.6
0.1,6.0,360.0,0.00468,0.057778,0.180556,0.0,15.18,47.45,serverless,91.9
0.5,30.0,1800.0,0.004019,0.011556,0.036111,0.06,15.18,47.45,serverless,65.2
1.0,60.0,3600.0,0.003358,0.005778,0.018056,1.96,15.18,47.45,serverless,41.9
5.0,300.0,18000.0,0.001348,0.001156,0.003611,10.85,15.18,47.45,container,14.3
10.0,600.0,36000.0,0.001225,0.000578,0.001806,25.33,15.18,47.45,container,52.8
30.0,1800.0,108000.0,0.001225,0.000193,0.000602,89.71,15.18,47.45,container,68.0
100.0,6000.0,360000.0,0.001225,5.8e-05,0.000181,315.06,15.18,47.45,container,68.0
