container_cost_per_hour,crossover_rps
0.005,0.3234259934574712
0.0069387755102040816,0.4752088479564981
0.008877551020408164,0.6479406579656379
0.010816326530612246,0.8483829464360856
0.012755102040816327,1.0870551445053735
0.014693877551020407,1.3814048233151626
0.01663265306122449,1.7625381426976998
0.018571428571428572,2.2887299015085523
0.020510204081632653,3.052098945621727
0.022448979591836737,4.053132538294113
0.024387755102040817,5.061022455023961
0.026326530612244898,5.950421561469207
0.028265306122448982,6.409355766494573
0.030204081632653063,6.8489867112978295
0.03214285714285714,7.288617540383356
0.034081632653061224,7.728248325735734
0.03602040816326531,8.167879380969786
0.037959183673469385,8.607510238245005
0.03989795918367347,9.047141141474278
0.041836734693877546,9.486772068108243
0.04377551020408163,9.926403054441915
0.045714285714285714,10.366033621366034
0.04765306122448979,10.805664725462519
0.049591836734693875,11.245295627319098
0.05153061224489796,11.684926529369685
0.05346938775510204,12.124557430593113
0.05540816326530612,12.564188331068324
0.057346938775510205,13.003819230681078
0.05928571428571428,13.443450129943802
0.061224489795918366,13.883081070266254
0.06316326530612246,14.322711929733602
0.06510204081632653,14.762342827729915
0.06704081632653061,15.201973735273155
0.0689795918367347,15.641604626214367
0.07091836734693878,16.081235532525962
0.07285714285714286,16.52086622225402
0.07479591836734695,16.96049732407424
0.07673469387755102,17.400128223944673
0.0786734693877551,17.839759126245244
0.08061224489795919,18.279390035479626
0.08255102040816327,18.719020959309443
0.08448979591836735,19.158651907628332
0.08642857142857144,19.598282890188415
0.08836734693877552,20.03791341354612
0.09030612244897959,20.477544478393423
0.09224489795918368,20.917175397896965
0.09418367346938776,21.356806297766145
0.09612244897959184,21.796437198860826
0.09806122448979593,22.236068100738027
0.1,22.675699002927136
