rate_rps,serverless_per_1k,container_per_1k,managed_per_1k,serverless_monthly,container_monthly,managed_monthly
0.01,0.004847557132000956,0.5777777777777777,1.8055555555555556,0.0,15.184,47.45
0.010186289902446875,0.004847201873012063,0.5672112057590156,1.7725350179969241,0.0,15.184,47.45
0.010376050197669117,0.004846840029926317,0.5568378783552629,1.740118369860197,0.0,15.184,47.45
0.010569345535579883,0.004846471481364591,0.5466542614514667,1.7082945670358334,0.0,15.184,47.45
0.010766241770454934,0.004846096103734382,0.5366568855655222,1.6770527673922566,0.0,15.184,47.45
0.010966805983368685,0.00484571377119036,0.5268423446662465,1.6463823270820201,0.0,15.184,47.45
0.011171106505048241,0.004845324355594253,0.5172072950129685,1.6162727969155266,0.0,15.184,47.45
0.01137921293915315,0.00484492772647406,0.5077484540163429,1.5867139188010717,0.0,15.184,47.45
0.011591196185988858,0.004844523750982561,0.4984625991199949,1.5576956222499843,0.0,15.184,47.45
0.011807128466661904,0.004844112293855142,0.48934656670262044,1.529208020945689,0.0,15.184,47.45
0.01202708334768512,0.004843693217366907,0.48039725100016367,1.5012414093755115,0.0,15.184,47.45
0.01225113576604119,0.004843266381289064,0.4716116030477065,1.473786259524083,0.0,15.184,47.45
0.012479362054713113,0.004842831642844598,0.462986629640709,1.4468332176272158,0.0,15.184,47.45
0.012711839968690289,0.004842388856663183,0.4545193923152469,1.4203731009851468,0.0,15.184,47.45
0.012948648711459043,0.004841937874735359,0.4462070063468995,1.394396894834061,0.0,15.184,47.45
0.013189868961986699,0.004841478546365939,0.43804663976794433,1.3688957492748262,0.0,15.184,47.45
0.013435582902208256,0.004841010718126654,0.43003551240252846,1.3438609762579015,0.0,15.184,47.45
0.013685874245025185,0.004840534233808,0.4221708949194824,1.3192840466233826,0.0,15.184,47.45
0.013940828262825779,0.004840048934370305,0.41445010790245784,1.2951565871951807,0.0,15.184,47.45
0.014200531816536825,0.00483955465789398,0.4068705209370702,1.2714703779283445,0.0,15.184,47.45
0.014465073385216465,0.004839051239528965,0.39942955171473643,1.2482173491085513,0.0,15.184,47.45
0.01473454309619835,0.0048385385114433415,0.39212466515290173,1.225389578602818,0.0,15.184,47.45
0.015009032755797357,0.0048380163027711,0.3849533725313555,1.202979289160486,0.0,15.184,47.45
0.015288635880587303,0.004837484439559078,0.3779132306443437,1.1809788457635741,0.0,15.184,47.45
0.015573447729261343,0.004836942744713015,0.3710018409681862,1.159380753025582,0.0,15.184,47.45
0.015863565335085903,0.004836391037942748,0.3642168488441183,1.1381776526378697,0.0,15.184,47.45
0.016159087538959182,0.004835829135706525,0.35755594267607566,1.1173623208627366,0.0,15.184,47.45
0.016460115023085507,0.00483525685115441,0.35101685314315095,1.0969276660723468,0.0,15.184,47.45
0.016766750345277002,0.004834673994070807,0.34459735242645334,1.0768667263326668,0.0,15.184,47.45
0.017079097973894276,0.004834080370816033,0.33829525345010725,1.0571726670315853,0.0,15.184,47.45
0.017397264323438015,0.004833475784266993,0.33210840913613154,1.0378387785504113,0.0,15.184,47.45
0.017721357790803593,0.004832860033756896,0.3260347116729468,1.0188584739779585,0.0,15.184,47.45
0.018051488792211093,0.00483223291501402,0.32007209179725876,1.0002252868664339,0.0,15.184,47.45
0.018387769800823277,0.0048315942200995304,0.3142185180890773,0.9819328690283664,0.0,15.184,47.45
0.018730315385064374,0.004830943737344295,0.3084719962796248,0.9639749883738277,0.0,15.184,47.45
0.019079242247652662,0.004830281251284741,0.3028305685719056,0.9463455267872052,0.0,15.184,47.45
0.0194346692653602,0.004829606542597696,0.2972923129736982,0.9290384780428068,0.0,15.184,47.45
0.019796717529513327,0.0048289193880342255,0.2918553426427465,0.9120479457585828,0.0,15.184,47.45
0.020165510387247464,0.004828219560352454,0.28651780524392806,0.8953681413872752,0.0,15.184,47.45
0.020541173483530642,0.004827506828249346,0.2812778823181764,0.8789933822443013,0.0,15.184,47.45
0.020923834803969768,0.004826780956291457,0.27613378866294574,0.8629180895717056,0.0,15.184,47.45
0.021313624718414376,0.004826041704844609,0.2710837717240061,0.8471367866375192,0.0,15.184,47.45
0.02171067602537265,0.004825288830002533,0.266126110998361,0.8316440968698782,0.0,15.184,47.45
0.022115123997254887,0.004824522083514404,0.261259117448085,0.8164347420252657,0.0,15.184,47.45
0.022527106426459803,0.00482374121271131,0.256481132924881,0.8015035403902531,0.0,15.184,47.45
0.022946763672319362,0.004822945960431615,0.2517905296051617,0.7868454050161303,0.0,15.184,47.45
0.02337423870891815,0.004822136064945221,0.24718570943546234,0.7724553419858198,0.0,15.184,47.45
0.023809677173803584,0.0048213112598767035,0.24266510358799548,0.7583284487124858,0.0,15.184,47.45
0.02425322741760353,0.00482047127412733,0.23822717192616344,0.7444599122692608,0.0,15.184,47.45
